日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名,最高气温,最低气温,天气,Wind_dir,风力
2014/1/25,42,21~81,优,24.2,41.6,24.5,0.963,42.3,66,18,4,-5,多云,西南风,小于3级
2014/1/26,77,54~146,良,52.6,81,44.9,0.997,47.5,51,78,10,-5,多云转晴,东北风,小于3级
2014/1/27,128,28~206,轻度污染,89.2,119.5,56.5,1.781,60,63,116,5,-5,晴,北风,小于3级
2014/1/28,61,23~106,良,39.6,74.9,28.2,0.907,38.5,70,53,7,-5,晴转多云,南风,小于3级
2014/1/29,154,93~250,中度污染,118.2,141.2,70.7,2.311,74.9,24,136,7,-2,多云转晴,东风,小于3级
2014/1/30,99,22~233,良,71.7,96.7,39.3,1.215,45.9,73,50,5,-4,晴转多云,东风,小于3级
2014/1/31,184,110~361,中度污染,143.2,181.7,63.2,1.445,47.9,45,82,6,-2,雾,东北风,小于3级
2014/2/1,179,149~213,中度污染,135.1,145.8,51.5,1.978,57.5,16,130,9,-1,雾转多云,南风,小于3级转4-5级
2014/2/2,109,34~206,轻度污染,65.9,97.5,19.1,1.223,31.3,77,63,2,-4,多云转晴,东北风,4-5级
2014/2/3,40,33~58,优,5.2,31.7,4.8,0.303,8.1,76,29,1,-7,晴,西北风,3-4级转小于3级
2014/2/4,51,29~128,良,26.9,40.3,19.1,0.615,21.1,71,52,1,-7,多云,西南风,小于3级
2014/2/5,117,91~158,轻度污染,88.3,102.4,53.2,1.574,48.7,48,177,0,-5,阴,南风,小于3级
2014/2/6,159,118~197,中度污染,120.2,130.4,66.3,2.047,63.8,48,181,-1,-4,中雪转小雪,西南风,小于3级
2014/2/7,134,130~137,轻度污染,101.7,67.3,33.3,1.578,59,16,167,0,-5,小雪转晴,南风,小于3级转3-4级
2014/2/8,96,22~169,良,66.7,39.7,22.8,1.186,35.9,69,105,-1,-9,晴,北风,3-4级转小于3级
2014/2/9,29,25~33,优,9,15.7,15.6,0.452,17.7,68,35,0,-11,晴,北风,小于3级
2014/2/10,37,21~82,优,24.2,28.5,25.6,0.745,37.7,62,39,0,-10,晴,南风,小于3级
2014/2/11,129,80~228,轻度污染,97.9,111.5,57.8,2.057,76.8,49,147,2,-9,晴,北风,小于3级
2014/2/12,150,53~216,中度污染,111.5,115.8,53,2.153,77.4,57,134,1,-7,多云转阴,东南风,小于3级
2014/2/13,239,211~285,重度污染,187.8,173.3,73.3,2.816,83.6,33,180,3,-6,阴转多云,东风,小于3级
2014/2/14,311,248~500,严重污染,265.3,295.3,73.3,3.106,94.8,35,181,4,-5,多云转霾,东北风,小于3级
